1700 Species Name,Name used for Phylacine,Notes
Afronycteris nanus,Neoromicia_nana,
Alexandromys_oeconomus,Microtus_oeconomus,
Casiomys_melanotis,Handleyomys_melanotis,
Cebus_olivaceus,Cebus_brunneus,phylogeny unresolved
Inia_humboldtiana,NLV,phylogeny unresolved
Lepus_microtis,Lepus_victoriae,L. microtis has name priority
Loxodonta_cyclotis,NLV,not recognized by Phylacine
Micaelamys_namaquensis,Aethomys_namaquensis,
Mops_plicatus,Chaerephon_plicatus,
Nannospalax_ehrenbergi,Spalax_ehrenbergi,
Notamacropus_eugenii,Macropus_eugenii,
Notamacropus_rufogriseus,Macropus_rufogriseus,
Oryzomys_galapagoensis,Aegialomys_galapagoensis,
Osphranter_robustus,Macropus_robustus,
Osphranter_rufus,Macropus_rufus,
Otaria_flavescens,Otaria_byronia,
Otomys_orestes,NLV,not recognized by Phylacine
Ovis_gmelini,Ovis_orientalis,
Pardofelis_temminckii,Catopuma_temminckii,
Pithecia_irrorata,Pithecia_vanzolinii,
Pithecia_monachus,Pithecia_milleri,
Trichosurus_arnhemensis,NLV,phylogeny unresolved
