name,p,keep
Gestation.Period..m.,1.98813167738378e-05,Y
Birth.Mass..kg.,0.332577242577391,N
Adult.Female.Mass..kg.,0.311103741079239,N
Radically.Dimorphic.Morphology.,1.50681007830437e-05,Y
Typically.single.progeny.,2.18246917984145e-06,Y
Progeny.Count,8.95353721306243e-11,Y
Weaned.Age..m.,4.82055941404858e-05,Y
Female.Age.of.Maturity..m.,0.000126740098486296,Y
Male.age.of.Maturity..m.,0.000474362577754298,Y
Males.Noted.to.not.Compete.Immediately.,2.06593108116301e-06,Y
Nonseasonal.Breeding.,0.278004267563181,N
Some.Degree.of.Territoriality.,0.00143316468967089,Y
Group.Living..Beyond.families..,6.89575635321682e-09,Y
Deep.Paternal.involvement.,0.131961337173496,N
Notable.Alloparental.Care.Beyond.Alerts.,0.237910207265056,N
Generally.Female.Exclusive.Groups.,0.00141960678155428,Y
Multimale.Coed.Groups.,0.000106146994508126,Y
Bachelor.Groups.,9.52795856009631e-08,Y
Herbivorous.,0.00342379308070129,Y
Carnivorous.,0.254849931322624,N
Piscivorous.Marine.Inverts.,0.521751860580887,N
Insectivorous.,0.484580952652199,N
Frugivorous.,0.284809863552318,N
Granivorous.,0.515709155091829,N
Carrion.Eater.,0.445010227693267,N
Minorly.Opportunist.Carnivore.,0.503213464803199,N
IUCN.Designation,0.0292486895051394,Y
